token	question_1_check	question_2_check	question_3_check	sex_check	age_check	climate_check
03lk7BGIcRFWsNP	1	1	1	1	1	1
0G8Su0rw7ZKaY3L	1	1	1	1	1	1
0Go7xieiT0aFuSs	1	1	1	1	1	1
0LXdlBrfUsXAhev	1	1	1	1	1	1
0O8zIPnV23Cy8X9	1	0	0	1	0	1
0TXTu3mZJtCtxWW	1	1	0	1	1	1
0Uju8jt8Nw1qRZ7	1	1	0	1	1	1
0gQvOGSHJHwM2ua	1	1	1	1	1	1
0tNzKGbzrSy15Fc	1	1	1	1	1	1
0vzpGeG5Uv7TJfF	1	1	1	1	1	1
0yf8SjlDaaKWdan	1	1	1	1	1	1
0zrOv5kNzAgna3O	1	0	0	1	1	1
125llXuBsCcShBp	1	1	0	1	1	1
13w8bEuG1T88CYy	1	1	1	1	1	1
19IHXbMdVDq8Xia	1	1	1	1	1	1
1EiXy2z6TJ6ifaq	1	1	0	1	1	1
1FMQG5yha9vGqnY	1	1	1	1	1	1
1HzDDTzH2zvDL9T	1	1	1	1	1	1
1JalQjs1naFU3UM	1	1	1	1	1	1
1OMSk8oUWFKgeLc	1	1	1	1	1	1
1QJV6Way55nHlrz	1	1	1	1	1	1
1Rz8jWmaFzBXGqk	1	1	1	1	1	0
1ubfogvQXzDnzDi	1	1	1	1	1	1
1wajnFab5rHayso	1	1	1	1	1	1
1ztDWjKGnN4Cpr0	1	1	1	1	1	1
1zw2c9UhReEMTKZ	1	1	1	1	1	1
25jOTVfyjIXaLYL	1	1	0	1	1	1
26K7xOh3MajqAzM	1	1	1	1	1	1
2ALah6Q6sBG8bSC	1	1	1	1	1	1
2PSN2ntGX6POxxR	1	1	1	1	1	0
2mnCRedAzLaJscW	1	1	1	1	1	1
2xTmP3PHcchakZu	1	1	1	1	1	1
30cJ5ZR88a9GHDC	1	1	1	1	1	1
33a58f9ewLtEA9p	1	1	1	0	1	1
3YBWiACgsIUxq5v	1	1	1	1	1	1
3bwz2BcoIsVaGZ6	1	1	1	1	1	1
3dO1uHNj04ixdmh	1	1	1	1	1	1
3iRKXBo9aS133S1	1	1	1	1	1	1
3kSH4lbSzNcPngQ	1	1	1	1	1	1
3zsYn1lBm8zhyqM	1	0	0	1	1	1
41NCf2MickhZ5FD	1	1	1	1	1	1
47SSz3rkHS566nK	1	1	1	1	0	1
4PiNgbIssws8R2I	1	1	1	1	1	1
4Rd8rzajrGWxq2X	1	0	0	1	1	0
4Uf4JxGMa8IF90M	1	1	1	1	1	1
4ayjLc5zeXty15U	1	1	0	1	1	1
4c6XjxhLePD0vTe	1	1	1	1	1	1
4m2OYz5pg7Ed5z4	1	1	1	1	1	1
4tH2Z24kjhe8JG9	1	1	1	1	1	1
53w2650eLwRQBtp	1	0	0	1	1	1
5WWUK2hdpH82FWZ	1	1	1	1	1	1
5lOb4lCs4um23AA	1	1	1	1	1	1
5uRpTOJztkSLDl1	1	1	1	1	1	1
6Qp7O3KnaGJyhKz	1	1	1	1	1	1
6amNgfNwxCyRVzC	1	1	1	1	1	1
6vOJOl5H2wuHZon	1	1	1	1	1	1
7R5YLav6Krxz1b5	0	0	0	1	1	1
7UT1hthwaWjLH9d	1	1	0	1	1	1
7aGd3JHjJDEgwqG	1	1	1	1	1	1
7l07nDR4ffioWyd	0	0	0	1	1	0
7rx0e8Q016iWkAz	1	1	1	1	1	1
81qvt6kyMtIqzx9	1	1	1	1	1	1
826Rtz6HBY4RNNJ	1	1	1	1	1	1
8LjJ5Lz8EMkChSm	1	1	1	1	1	1
8URtyRQvXb8MY9t	0	0	0	1	1	1
8Xh4ghgb55YsZUC	1	1	1	1	1	1
8b1E4RUavgDN9Qj	1	1	1	1	1	1
8bM5zqXPg4XdzC7	1	1	1	1	1	0
8oNtrTraJh4oW7T	1	1	1	1	1	1
8vrpzEsBxWkaZgp	1	0	0	1	1	1
8xUqY35haXGz9Kf	1	1	1	1	1	1
90xAimmYlaLPghc	1	0	0	1	1	0
945ykajfdxyIwSY	1	1	1	1	1	1
94vR9gJVWlxdOoQ	1	1	1	1	1	1
9AsfPSDSGZmt44f	1	1	1	1	1	1
9HPsJ9R9HNzOPYJ	1	1	1	1	1	1
9NC116NTQsmqa7g	1	1	1	1	1	1
9pab5IV08BXhsXo	1	1	1	1	1	1
AKGJte4bqPHlCAL	1	1	1	1	1	1
ALszV8c1NJHODoY	1	1	1	1	1	1
AP93Ma0zEfHXaYj	0	0	0	1	1	1
AUhZPZNplojGEDU	1	1	1	1	1	1
AqUQ7q56uWdb2AV	1	1	1	1	1	1
AtSeXfB4CEPNXhH	1	1	1	1	1	0
AzBaYk6Rz9TWxKG	1	0	0	1	1	1
B2tnpb2Ag4YTTly	1	1	1	1	1	1
B4WYP8WJyP9J3F1	0	0	0	1	1	1
BXaug15i9gveMkv	1	1	1	1	1	1
BmeIU8iTsuJUwSq	1	1	1	1	1	1
BuBWRBNfNL1qg3N	1	1	1	1	1	1
BubSzKItfCVMkJD	1	1	1	1	1	1
ByMsIjFfszfzMIa	1	1	0	1	1	1
C7Dz3ZZkdBhoY0I	1	1	1	1	1	1
CEcNfNQvRQJZTJV	1	1	1	0	0	0
CYpNPQOanbaL2F7	1	1	1	1	1	1
CjQxoXek7GiDykW	1	1	1	1	1	1
CnDXWMcRa13tUgq	1	1	1	1	1	0
CoWcJKnoOdwgDQ9	1	0	0	1	1	1
CszolxV90BgjiPH	1	1	1	1	1	1
Cv8NSRpqdabsvSh	1	1	1	1	1	1
CzJz9XSHzTyzKwZ	1	1	0	1	1	1
D26OFjpgKcgPrHo	1	1	1	1	1	0
DEyu8e4aMt1PMyM	1	1	1	1	1	0
DLsRzeONESYiSWF	1	1	0	1	1	1
DYY17QndFz6JXaj	1	1	1	1	1	0
DnGSRhL8TPufjFW	1	1	1	1	1	1
DqEy8UadrZbd3u8	1	1	0	1	1	1
DsGUmiVkczFz5Us	1	0	0	1	1	1
E1AZPCt872zDz9N	1	1	1	1	1	1
E3Xfl4btRhG1e2U	1	1	1	1	1	0
EGnNoyAk0Tg6ur1	1	1	1	1	1	1
Exu65YZNYdVZ867	1	1	1	1	1	0
FAGDQWBTeShfuz8	1	1	0	1	1	1
FCEvupnvcREolBR	1	0	0	1	1	1
FGajqkVzzdBQNbB	0	0	0	1	1	0
FTrf5GESSl98Vuu	1	1	1	1	1	1
FX758S9yng4jbHv	1	1	1	1	1	1
FdnOd8azz7p13Be	1	1	1	1	1	1
FeO3naT6QGUEO2q	1	1	1	1	1	1
Fp16YCCr0zc204y	1	1	1	1	1	1
G3NGRxeoEY51eU2	1	1	1	1	1	1
G5mwEVWaUlM2rDZ	1	1	1	1	1	1
GCcHPojpY8csUuw	1	1	0	1	1	0
GQ1I5bBQaXlqMaa	1	1	1	1	1	1
GXclZg1O91QjdoT	1	1	1	1	1	0
HCzmp2PYUBzcGTZ	1	1	1	1	1	1
HZDsGtqzt7tSsle	1	1	1	1	1	1
HcSTGRaZq6vzAAo	1	1	1	1	1	0
