Numer wywiadu;Id respondenta;Zmienna addresowa ID;Wska¿ swoj¹ p³eæ.;Inna, jaka?;Wska¿ swój wiek.;k_wiek;Wska¿ pañstwo, w którym mieszkasz obecnie. Chodzi tutaj o miejsce sta³ego pobytu, a nie o pobyt tymczasowy (np. w celu wyjazdu wypoczynkowego lub s³u¿bowego).Wybierz z listy;W jakim jêzyku lub jakich jêzykach mówi siê najczêœciej w Twoim domu? Wska¿ najwy¿ej 2 jêzykiJêzyk pierwszy:;Jêzyk drugi:;Jakie masz wykszta³cenie? Chodzi tutaj o ukoñczona? przez Ciebie szko³ê? najwy¿szego szczebla.;Byæ mo¿e zetkn¹³eœ/-aœ siê z informacj¹, ¿e na Ziemi zachodzi obecnie zmiana klimatu. Korzystaj¹c z poni¿szej skali (1-5) zaznacz w jakim stopniu martwisz sie? zmiana? klimatu: gdzie 1 oznacza, ¿e w bardzo ma³ym stopniu martwiê siê zmian¹ klimatu, zaœ 5, ¿e martwiê siê w bardzo du¿ym stopniu.;k_rozk³ad;Czy zechcesz wzi¹æ udzia³ w badaniu poœwiêconym postawom wobec zmiany klimatu? Udzia³ ten polega na wype³nieniu kwestionariuszy. Zajmie to oko³o 30 minut. Po udzieleniu odpowiedzi na wszystkie pytania, otrzyma Pan/Pani wynagrodzenie w wysokoœci 30 pkt, które zostan¹ naliczone na Twoje konto w ci¹gu 7 dni.Wype³nienie kwestionariuszy wymaga koncentracji i zaanga¿owania.;
1;3d58bf48917916af3f3e0b3100c13658;nvqi3THln0LCAAc;1;;2;1;1;1;88;3;4;2;1;
3;57b6dd6eab75ecf401eb64264c8bbdbd;qcBa51RUaaIkRuC;1;;2;1;1;1;5;3;3;1;1;
5;794535d34c46ea00b13dd6c4b0e24354;4PiNgbIssws8R2I;1;;4;3;1;1;;4;5;3;1;
6;da6670e114843cd0619364d5b6c332aa;uL0tt6ngQdNTIor;1;;3;2;1;1;5;3;3;1;1;
7;c787630333203b0c5305b86f0f2a6c77;9CYdyfqSfGKIQ26;1;;3;2;162;1;5;4;5;3;1;
8;7d6c43d10586c2c602a75a9bdedff877;CEcNfNQvRQJZTJV;2;;4;3;1;1;1;2;4;2;3;
9;dd16d2b53fec050584a6b84018bd859b;n15avkCGUc5Pczd;1;;3;2;162;1;1;2;3;1;1;
10;d0e51d4a34d2fa25dccdcad10cb17d48;7UT1hthwaWjLH9d;2;;5;4;162;1;;4;2;1;1;
11;39a76d8aeeb97d60bae7f9df7c6a9e02;TGaaEdqRYQju7fW;1;;4;3;1;1;1;2;2;1;1;
12;0139cec5f2fa5bb55e4cb97c81bf6b01;vOxlHquqTallkzX;2;;4;3;1;1;1;3;4;2;2;
13;47de87aa0090c23beebd0bd21d968ecb;vnNvzvDnSic1HE0;1;;2;1;1;1;5;3;2;1;1;
14;1fdada0d6d8b23ce1613c7aaab4815dd;1LV5G7BPyf8QpwJ;1;;3;2;1;1;;4;5;3;2;
15;6598cbf982df3cfcaa01ddbc53356903;N9PiaCYjCNsQhAN;2;;5;4;162;1;1;4;4;2;2;
16;4fe3955bdb084517e721f02b01353fa3;N99Q7GpHYKwHHIT;1;;3;2;162;1;1;2;1;1;1;
17;b6bc17a3ab9da721039b845fd016c946;XaB5vMMFVtr2bgX;2;;4;3;1;1;5;3;3;1;1;
18;9d69273cc050f4de9bc0e160f4153672;ozwZwKOU1LBIauz;2;;3;2;1;1;1;4;2;1;2;
19;f60e1c3bb488738970b13e4e8ba43fb4;jnYs4G0M58o3raU;2;;3;2;1;1;1;3;4;2;1;
21;e73a86eecddb99cf61e6cf0b031ca3b2;tH2q4nkq2raW4i7;2;;3;2;1;1;5;4;4;2;1;
22;78e5eb1c6874bdbc440e82b43d978de2;gcEwpAdhrYRxCwP;1;;4;3;1;1;1;4;5;3;2;
23;6cf472f4b03a49d538724961155bb9da;CjQxoXek7GiDykW;2;;2;1;1;1;;3;5;3;2;
24;20ac82d6b2566e9b2c9a96b22608ae53;YrZsza0gQTgu7ma;1;;3;2;162;1;;1;3;1;1;
25;9fe358a384d00d0ddf9129eb3b48317c;cjfjnUOAc4udQ0z;1;;3;2;1;1;1;4;4;2;2;
26;904f4f45611e87de8c39aa54f79454a6;1wajnFab5rHayso;2;;4;3;1;1;;2;5;3;1;
27;5aba9d2a80a06b4b30439769d1ac4a24;eAeKAP3h9MNw7iD;1;;4;3;1;1;1;2;5;3;2;
28;812e1f321d060e9e9e28897e00722f24;9HPsJ9R9HNzOPYJ;2;;4;3;162;101;1;4;4;2;1;
30;2df10caeec48d6d09c82f66d712f6270;bhGFzDI0tGEsBi8;1;;3;2;1;1;1;3;5;3;1;
31;80862ed0f01c526cdefcb9ba83b8cb17;IpdOnHZvl0EKktI;2;;4;3;162;1;;4;1;1;1;
32;96883a3aeaa8191a3fca15c16c60f6e6;mqBcwQmprezV5Bv;1;;3;2;162;1;1;2;3;1;2;
34;0b4cc9cfa7bfbe5d28983f9310e31ef8;czLtYlehEiDeqXK;2;;3;2;1;1;5;3;3;1;1;
35;b05fd765953d99f233d5318297adcb67;8Xh4ghgb55YsZUC;2;;3;2;162;1;;3;4;2;1;
37;9cc16358bc8d232b997ff29951e21300;SvT8RBVTXa1IspB;2;;5;4;1;1;1;2;3;1;1;
38;0583b9859639c6c75d34798e8a2a0c4c;0LXdlBrfUsXAhev;2;;4;3;1;1;1;2;4;2;1;
39;4ff625286410b071af74c3e8941413e7;lO82kCL0OY6gQzD;2;;5;4;162;1;;3;3;1;1;
40;178d833b98cdb0556c11a2b335e09428;VMhRmRmxREeHDmV;2;;2;1;162;1;;3;2;1;2;
41;d6b3a19aaee1752973550550c687bc20;u3diMLLoztR7OmE;2;;4;3;1;1;;1;3;1;1;
42;49b67f0fd4959430395416e588441dcb;8b1E4RUavgDN9Qj;2;;4;3;162;1;1;3;5;3;1;
43;32e4de5a8c81c330a4c035c947eee21a;ZQiralMaTypxdHj;2;;4;3;1;1;;3;3;1;3;
44;bd44af615b15e57766b7e991b4612e8b;LKajhmil061fJhV;1;;4;3;1;1;;2;4;2;3;
45;a869109618c350b19566dc93be1d4c30;125llXuBsCcShBp;2;;4;3;162;1;47;1;1;1;1;
46;8e471e73859260e1ff70fe5dddfa57dd;qoBR2uuz7WoAnzn;2;;4;3;1;1;1;2;4;2;1;
47;751015bb3ef2f4caff41397ef06349b4;j5vSnh4SbLj3Ik8;1;;5;4;162;1;;3;4;2;1;
48;f6fc9e6de6227eba18bdbcf9d3dcec0a;whsQuV94zW63zbx;1;;5;4;162;1;104;4;5;3;1;
49;b1a3609140f5ed3c517382161676da67;CnDXWMcRa13tUgq;1;;5;4;1;1;1;1;2;1;1;
50;6ae75e42e4fceb0d19af0de2766e3e0a;rRdNHOkARZOViAK;2;;5;4;162;1;;4;4;2;1;
51;14591d25b6c15dbba91b7c62d2c0a6ae;4Uf4JxGMa8IF90M;1;;4;3;1;1;1;3;4;2;1;
52;56ad12b638b6c25d5b41105316e9ec74;6amNgfNwxCyRVzC;2;;5;4;1;1;1;3;5;3;1;
53;f962cf8b7cce8ef419a562e84e5e05a2;nJU8nqxJKrq5NUK;1;;5;4;162;1;;4;4;2;1;
54;a907000ddb0a73579d5617e46764c3bc;ns1SV965dEZdl9b;2;;4;3;162;1;;3;5;3;2;
55;7eb31ca0cf5c0826ce194bbf5613c7ab;gkRKZzBp7jchyUj;2;;5;4;1;1;1;3;5;3;1;
56;3f45227dda34ba0b1a02f1a3639aa1ef;N0CtyCcrMqHtcoh;2;;5;4;1;1;1;2;4;2;1;
57;c99ee26c8f95a9f6f6a83d3e59177fec;j9M0gmOQTh9cXku;2;;4;3;162;1;1;4;4;2;2;
58;603fde281522c08f6596405fb21110f7;Hv3PhkRiHOWGBii;1;;4;3;162;1;;4;4;2;2;
59;7ee2daedb13f208252904cfbd9023955;IviUSt45Tf3yYzb;1;;5;4;1;1;1;2;5;3;1;
60;4822741f828de33ec45b4fa8094ef1e3;ZBn4UnpVRCpz4LI;1;;4;3;1;1;1;2;4;2;1;
61;c7747c3d3d2a3ff944e63401aed14f65;HCzmp2PYUBzcGTZ;2;;5;4;1;1;;2;1;1;1;
62;3bdac174d7cb6c7f81dbdc737b085db0;8bM5zqXPg4XdzC7;1;;4;3;1;1;1;2;5;3;1;
63;74ce56d4ba3912fd439178036d8d5677;r3ZzGsgDrA2btBq;1;;3;2;1;1;1;4;3;1;1;
64;4678ec0024933c9ba0d32a757c37d8d2;G5mwEVWaUlM2rDZ;1;;4;3;1;1;1;1;4;2;1;
65;6b01a0740d4f578b81c6e3570a23c3c8;lbdxpnVEadp6hxo;1;;3;2;162;1;1;3;3;1;1;
66;ba88dbd1e5b645dab310dbe42d117e5a;B2tnpb2Ag4YTTly;2;;2;1;162;1;5;4;4;2;1;
67;19f4237b123a8675464d5917339ea7e1;uNhCW8MaV8y72T9;2;;4;3;162;1;;4;1;1;1;
68;76b696f7fdeab28a1cedda7dc8649a31;b0ZAaWfsDS3ztjo;2;;4;3;162;1;5;3;4;2;1;
69;6ad527d134ede73d33c7b03c604a689b;oll9wnJpNkQO5Xq;1;;3;2;162;1;5;2;4;2;1;
70;13743d767ffe91aab7f55bc8eb9b767f;SDEyzI0ZrsWNNWA;1;;3;2;1;1;;1;3;1;1;
71;23309264415d8c16622fd1f16cfde985;NzOzkCPi95ImZNt;2;;2;1;1;1;5;4;3;1;1;
72;8ffd82cbb3c039f84d82e5b414094809;VK5gT5zWrtHLE8C;1;;3;2;162;1;;3;3;1;1;
73;f7428492542ce4710f4a894520f1ccc0;87J9vJCgEzLqGnq;2;;3;2;1;1;5;4;5;3;1;
74;aeb0dab574a521d9596c44740a9faf58;qzaAyWpNP0mteVu;2;;3;2;1;1;5;3;3;1;1;
75;3f03b563cc5e5ae683bf826328105f9e;l3BJmF78wpAAo6E;2;;2;1;1;1;;3;5;3;2;
76;0077bfe59fc959a81391789c77056832;JcOdjRa7pEeuSFw;1;;3;2;162;1;5;3;4;2;1;
77;56d93417cff76f28fd54f05eca42a24e;QaCY8gIOSlz6ukb;1;;4;3;1;1;5;4;5;3;1;
