Odczuwam smutek w obliczu strat, jakie niesie ze sobą zmiana klimatu.	I feel saddened by the losses that climate change brings.	SOR1
Świadomość zmiany klimatu napełnia mnie smutkiem.	Knowing that the climate is changing fills me with sadness.	SOR2
Wypełnia mnie gorycz na myśl o tym, jak wiele bezpowrotnie tracimy w wyniku zmiany klimatu.	I’m bitter over how much we are irretrievably losing as a result of climate change.	SOR3
Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu.	I feel sorry about the possibilities we are irreversibly losing as a result of climate change.	SOR4
Wypełnia mnie żal, kiedy myślę o świecie, który tracimy na zawsze w wyniku zmiany klimatu.	I’m filled with sorrow for the world that we are losing forever as a result of climate change.	SOR5
Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu.	I feel saddened by the world that is irretrievably vanishing as a result of climate change.	SOR6
Przykro mi, gdy widzę, jak środowisko zmienia się na naszych oczach za sprawą zmiany klimatu.	I am sorry to see the environment changing right before our eyes as a result of climate change.	SOR7
Czuję smutek, kiedy obserwuję postępującą pod wpływem zmiany klimatu degradację przyrody.	I feel saddened by the progressive degradation of nature as a result of climate change.	SOR8
Czuję żal, gdy myślę o miejscach, które znikają przez zmianę klimatu.	I feel sorry for all the places that are disappearing as a result of climate change.	SOR9
Robi mi się smutno, kiedy pomyślę o tym, że przez zmianę klimatu przyszłe pokolenia nie zobaczą już lodowców, ani raf koralowych.	I feel sad when I think about the future generations who, because of climate change, will not have the chance to see glaciers or coral reefs.	SOR10
Odczuwam smutek, że z powodu zmiany klimatu przyszłe pokolenia nie będą miały szansy doświadczyć świata takim, jakim my go znamy.	I feel saddened by the fact that, because of climate change, future generations will not have the chance to experience the world as we know it.	SOR11
Wymieranie gatunków w następstwie zmiany klimatu wywołuje we mnie smutek.	I am saddened by the extinction of species as a result of climate change.	SOR12
Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu.	I’m filled with sorrow for all the disappearing plant and animal species, resulting from climate change.	SOR13
Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń.	I’m sad that so many species are suffering because of climate change.	SOR14
Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu.	I am angry that governments have done so little to deal with climate change.	ANG1
Jestem wzburzony/a opieszałością polityków w kwestii przeciwdziałania zmianie klimatu.	I am outraged by the negligence of politicians towards dealing with climate change.	ANG2
Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu.	I feel anger at the thought of politicians putting off the fight against climate change.	ANG3
Jestem sfrustrowana/y tym, jak powoli podejmowane są działania na rzecz powstrzymania zmiany klimatu.	I’m frustrated by how slowly actions are being taken in fighting climate change.	ANG4
Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie.	I am angry about our leaders not taking climate change seriously.	ANG5
Jestem zły/a na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu.	I am angry at political leaders who ignore scientific knowledge on climate change.	ANG6
Czuję złość na myśl o ludziach u władzy, którzy za mało robią, by przeciwdziałać zmianie klimatu.	I feel anger at the thought of people in power who don’t do enough to resist climate change.	ANG7
Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska.	It bothers me how, in the face of climate change, people in power place money over the benefit of society and the environment.	ANG8
Czuję złość na firmy, które celowo ukrywały prawdę o postępującej zmianie klimatu.	I feel anger towards companies that deliberately hide the truth about the climate changing.	ANG9
Czuję wściekłość na korporacje szkodzące klimatowi.	I am outraged by corporations that harm the climate.	ANG10
Czuję wściekłość na zarządy korporacji, których chciwość doprowadziła do zmiany klimatu.	I am outraged by corporate managements whose greed led to climate change.	ANG11
Czuję złość w stosunku do ludzi u władzy, którzy mają moc zmienienia wielu rzeczy, ale nadal działają na szkodę klimatu.	I feel anger towards people in power, who have the agency to create change, but continue taking action that harms the climate.	ANG12
Jestem wściekła/y, że politycy pozwolili zmianie klimatu zajść tak daleko.	I am outraged that politicians allowed for climate change to come this far.	ANG13
Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu.	I feel angry that the political and economic system that we live in is harmful towards the climate.	ANG14
Czuję złość, gdy widzę, że inni ludzie nie przejmują się zmianą klimatu.	I feel anger when I see other people who do not care about climate change.	IRR1
Złości mnie to, kiedy ludzie w moim otoczeniu zachowują się tak, jakby nie obchodziła ich zmiana klimatu.	It makes me angry when the people around me act like they don’t care about climate change.	IRR2
Ręce mi opadają na myśl o ludziach, których nie obchodzi zmiana klimatu.	I feel hopeless when I think of people who don’t care about climate change.	IRR3
Irytuje mnie to, że ludzie dookoła mnie nie uważają zmiany klimatu za poważny i pilny problem.	I’m annoyed with the fact that people around me don’t see the seriousness and urgency of climate change.	IRR4
Czuję się zirytowana/y, ponieważ ludzie w moim otoczeniu nie rozumieją powagi zmiany klimatu.	I feel annoyed because many people around me don’t understand the seriousness of climate change.	IRR5
Drażni mnie, gdy ludzie nie dostrzegają, jak pilna jest potrzeba działania na rzecz klimatu.	I get irritated when people don’t understand the urgency of fighting climate change.	IRR6
Drażnią mnie ludzie w moim otoczeniu, którzy nie wykazują zaangażowania w sprawę zmiany klimatu.	I’m irritated by the people around me who are not committed to fighting climate change.	IRR7
Irytuje mnie brak zaangażowania społeczeństwa w walkę ze zmianą klimatu.	I’m annoyed by the public lack of involvement in fighting climate change.	IRR8
Denerwuję się, gdy widzę jak ludzie bezrefleksyjnie zachowują się w sposób szkodzący klimatowi.	I get angry when I see people thoughtlessly acting in a way that is harmful to the climate.	IRR9
Irytują mnie ludzie, którzy żyją, jakby nie było zmiany klimatu.	I’m annoyed by people who live like there is no climate change.	IRR10
Nie mogę znieść tego, że wielu ludzi żyje, jakby zmiana klimatu nie stanowiła problemu.	I cannot stand the fact that many people live as if climate change was not a problem.	IRR11
Drażni mnie, gdy ludzie w moim otoczeniu zachowują się w sposób szkodliwy dla klimatu.	I feel annoyed when the people around me act in a way that is harmful to the climate.	IRR12
Ludzie sami sobie zasłużyli na katastrofę klimatyczną.	People got what they deserve by the climate changing.	IRR13
Złoszczą mnie ludzie, którzy ignorują zmianę klimatu.	I am mad at people who ignore climate change.	IRR14
Wizja przyszłości w dobie zmiany klimatu wywołuje we mnie lęk.	I am full of fear when I think of the future in times of climate change.	APP1
