FACTOR	CODE	ITEM TEXT	ITEM TEXT EN	LOAD	LOW	SIM	UNC	EMO	NOTES
1	ANG4	Jestem sfrustrowana/y tym, jak powoli podejmowane są działania na rzecz powstrzymania zmiany klimatu.	I’m frustrated by how slowly actions are being taken in fighting climate change.	-0,74	1				
1	SOR13	Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu.	I’m filled with sorrow for all the disappearing plant and animal species, resulting from climate change.	-0,54	1			1	
1	ANG14	Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu.	I feel angry that the political and economic system that we live in is harmful towards the climate.	-0,94					
1	IRR13	Ludzie sami sobie zasłużyli na katastrofę klimatyczną.	People got what they deserve by the climate changing.	-0,55	1			1	
1	ANG2	Jestem wzburzony/a opieszałością polityków w kwestii przeciwdziałania zmianie klimatu.	I am outraged by the negligence of politicians towards dealing with climate change.	-0,96		1	1		Similar to ANG3
1	ANG11	Czuję wściekłość na zarządy korporacji, których chciwość doprowadziła do zmiany klimatu.	I am outraged by corporate managements whose greed led to climate change.	-0,99		1	1		Similar to ANG10
1	ANG13	Jestem wściekła/y, że politycy pozwolili zmianie klimatu zajść tak daleko.	I am outraged that politicians allowed for climate change to come this far.	-0,98					
1	ANG12	Czuję złość w stosunku do ludzi u władzy, którzy mają moc zmienienia wielu rzeczy, ale nadal działają na szkodę klimatu.	I feel anger towards people in power, who have the agency to create change, but continue taking action that harms the climate.	-1,03			1		
1	ANG7	Czuję złość na myśl o ludziach u władzy, którzy za mało robią, by przeciwdziałać zmianie klimatu.	I feel anger at the thought of people in power who don’t do enough to resist climate change.	-0,99		1	1		Similar to ANG1
1	ANG10	Czuję wściekłość na korporacje szkodzące klimatowi.	I am outraged by corporations that harm the climate.	-0,94					
1	SOR12	Wymieranie gatunków w następstwie zmiany klimatu wywołuje we mnie smutek.	I am saddened by the extinction of species as a result of climate change.	-0,54	1			1	
1	ANG5	Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie.	I am angry about our leaders not taking climate change seriously.	-0,96					
1	IRR8	Irytuje mnie brak zaangażowania społeczeństwa w walkę ze zmianą klimatu.	I’m annoyed by the public lack of involvement in fighting climate change.	-0,62	1			1	
1	ANG6	Jestem zły/a na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu.	I am angry at political leaders who ignore scientific knowledge on climate change.	-0,91					
1	ANG8	Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska.	It bothers me how, in the face of climate change, people in power place money over the benefit of society and the environment.	-0,86					
1	IRR3	Ręce mi opadają na myśl o ludziach, których nie obchodzi zmiana klimatu.	I feel hopeless when I think of people who don’t care about climate change.	-0,53	1			1	
1	ANG9	Czuję złość na firmy, które celowo ukrywały prawdę o postępującej zmianie klimatu.	I feel anger towards companies that deliberately hide the truth about the climate changing.	-0,81		1			Similar to ANG11
1	ANG3	Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu.	I feel anger at the thought of politicians putting off the fight against climate change.	-1					
1	ANG1	Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu.	I am angry that governments have done so little to deal with climate change.	-0,93					
2	DIS2	Czuję złość, że ludzie ulegają panice związanej ze zmianą klimatu.	I feel anger when people panic over climate change.	-0,82		1			Similar to DIS5
2	IND5	Nie czuję żadnych emocji w związku ze zmianą klimatu.	I do not feel any emotions regarding climate change.	-0,6	1				
2	DIS11	Drażni mnie, że pod przykrywką ograniczania zmiany klimatu dyktują nam, jak mamy żyć.	I am annoyed that under the facade of resisting climate change, they are actually telling us how to live.	-0,76		1			Similar to DIS13
2	IND7	Jestem znużony/a tematem zmiany klimatu.	I am tired of the topic of climate change.	-0,75					
2	DIS6	Czuję wściekłość, gdy media głównego nurtu wciąż trąbią o zmianie klimatu.	It is infuriating when the media keeps on buzzing about the climate crisis.	-0,91			1		
2	IND3	Temat zmiany klimatu jest mi obojętny.	I am indifferent to the topic of climate change.	-0,58	1				
2	DIS14	Jestem zła/zły, że oczekuje się ode mnie zrezygnowania z wygód na rzecz walki ze zmianą klimatu.	It angers me that I am expected to give up my own comforts for the sake of fighting climate change.	-0,75		1			Similar to DIS13
2	IND14	Czuję, że zmiana klimatu nie jest tematem wartym specjalnej uwagi.	I do not feel that climate change is a topic that needs special attention.	-0,63	1		1		
2	DIS5	Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej.	I get annoyed when I keep hearing people succumb to climate hysteria.	-0,76					
2	DIS12	Mam dosyć tego, że moje wolności są ograniczane pod pretekstem przeciwdziałania zmianie klimatu.	I am sick of my freedom being limited under the pretext of resisting climate change.	-0,83		1			Similar to DIS13
2	IND12	Trudno mi zrozumieć ludzi, którzy reagują emocjonalnie na temat zmiany klimatu.	It is difficult for me to understand people who react so emotionally about climate change.	-0,71		1			Similar to IND13
2	DIS3	Irytuje mnie, że społeczeństwo naiwnie wierzy w rzekomą konieczność przeciwdziałania zmianie klimatu.	I am annoyed that society naively believes in the alleged need to fight climate change.	-0,68	1				
2	IND11	Mam ciekawsze zajęcia, niż myślenie o zmianie klimatu.	I have more interesting activities to do, than think about climate change.	-0,53	1				
2	DIS13	Złości mnie, że oczekuje się ode mnie wyrzeczeń w związku ze zwalczaniem zmiany klimatu.	I am upset that sacrifices are expected of me in order to fight climate change.	-0,84					
2	IND8	Temat zmiany klimatu nieszczególnie mnie ciekawi.	I am not particularly interested in the topic of climate change.	-0,58	1				
2	DIS9	To skandal, że tak dużo pieniędzy wydaje się na zwalczanie zmiany klimatu.	It is absurd that so much money is being spent on resisting climate change.	-0,8		1			Similar to DIS10
2	IND1	Czuję się znudzona/y tematem zmiany klimatu.	I am bored by the topic of climate change.	-0,76		1			Similar to IND7
2	DIS8	Czuję frustrację, że zmusza się nas do przejmowania się zmianą klimatu.	I am frustrated that we’re forced to care about climate change.	-0,87			1		
2	IND4	Zmiana klimatu w zasadzie nie porusza mnie emocjonalnie.	Climate change does not move me emotionally.	-0,64	1	1			Similar to IND6
2	DIS10	Czuję oburzenie, że poświęca się mnóstwo czasu i energii na walkę ze zmianą klimatu.	I am disgusted by so much time and energy being spent on fighting climate change.	-0,76					
2	DIS4	Złości mnie alarmistyczna narracja mediów i polityków o “kryzysie klimatycznym”.	I am angered by the alarmist narrative of the media and politicians about the “climate crisis”.	-0,76		1			Similar to DIS7
2	IND6	Niespecjalnie porusza mnie temat zmiany klimatu.	I am not particularly concerned with the topic of climate change.	-0,63					
2	DIS7	Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia.	I am annoyed by the constant publicity of global warming.	-0,87					
2	IND2	Nudzi mnie słuchanie o zmianie klimatu.	Listening about climate change is boring.	-0,71					
2	DIS1	Złości mnie, że ludzie zajmują się zmianą klimatu.	I am angry that people are concerned with climate change.	-0,7	1				
2	IND13	Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu.	It is strange to me that people feel such strong emotions about climate change.	-0,74					
3	HOPF7	Wysiłki na rzecz ochrony klimatu sprawiają, że ze spokojem myślę o przyszłości.	Efforts to protect the climate make me think about the future with a sense of calm.	-0,76		1			Similar to HOPF10
3	EMP12	Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję.	The increasing public awareness of climate change gives me hope.	-0,6					
3	HOPF14	Jeśli chodzi o zmianę klimatu, to wierzę, że w przyszłości wszystko się ułoży.	In terms of climate change, I believe that everything will be fine in the future.	-0,81			1		
3	HOPF5	Wypełnia mnie poczucie optymizmu, gdy widzę przykłady działań na rzecz ograniczenia zmiany klimatu.	I am filled with optimism when I see examples of actions aimed at reducing climate change.	-0,77		1			Similar to HOPF8
3	HOPF11	Liczę na to, że nowe technologie pozwolą nam zapanować nad zmianą klimatu.	I am hoping that new technologies will allow us to control climate change.	-0,62	1	1			Similar to HOPFL9
3	HOPF4	Uspokajają mnie przykłady rozwiązań łagodzących zmianę klimatu.	Seeing examples of solutions to mitigate climate change calms me down.	-0,84			1		
3	EMP9	Świadomość, że istnieją ludzie, którzy przejmują się zmianą klimatu, daje mi siłę do działania.	Knowing that there are people who care about climate change, gives me the strength to act.	-0,52					
3	HOPF9	Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu.	I believe that the emerging solutions will allow us to stop climate change.	-0,83					
3	HOPF3	Nowe pomysły na ograniczenie zmiany klimatu dają mi nadzieję.	New ideas for climate change reduction give me hope.	-0,73		1	1		Similar to HOPF9
3	HOPF8	Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość.	Concrete climate actions allow me to be optimistic about the future.	-0,85					
3	HOPF12	Jestem pełna/pełen ufności, że uda nam się ograniczyć zmianę klimatu.	I am full of trust that we will succeed in reducing climate change.	-0,9		1			Similar to HOPF13
3	HOPF10	Z nadzieją patrzę w przyszłość, widząc tempo pozytywnych zmian na rzecz klimatu.	I look to the future with hope when I see the pace of positive climate changes.	-0,85					
3	EMP14	To, że coraz więcej ludzi uświadamia sobie zagrożenia związane ze zmianą klimatu, daje mi nadzieję.	The fact that more people are becoming aware of the dangers of climate change, gives me hope.	-0,57					
3	HOPF13	Mam w sobie dużo wiary, że uda się nam opanować zmianę klimatu.	I have a lot of hope that we will succeed in controlling climate change.	-0,93					
3	EMP7	Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel.	Seeing the public mobilization to act in resistance towards climate change, gives me the feeling that together we can achieve this goal.	-0,57					
3	HOPF2	Jestem pełna/pełen nadziei, gdy wprowadza się rozwiązania, które pomogą nam ograniczyć nasz negatywny wpływ na klimat.	I feel full of hope when I see solutions that will help us reduce our negative impact on the climate.	-0,76		1			Similar to HOPF3
3	HOPF1	Czuję nadzieję, gdy wprowadzane są rozwiązania ograniczające zmianę klimatu.	I feel hopeful when actions of limiting climate change are implemented.	-0,56	1				
3	HOPF6	Wprowadzane rozwiązania ograniczające zmianę klimatu dają mi dużo wiary w przyszłość.	The solutions introduced to limit climate change give me great hope for the future.	-0,74		1			Similar to HOPF9
