"FACTOR"	"CODE"	"ITEM TEXT"	"ITEM TEXT EN"	"LOAD"
"1"	"APP10"	"Czuję obawę, gdy myślę o tym, jak zmiana klimatu wpłynie na życie ludzi."	"I fear the impact of climate change on peoples' lives."	"-0.59"
"1"	"HOPL8"	"Jestem pozbawiony/a nadziei na przyszłość w obliczu tego, co dzieje się z klimatem."	"I have no hope for the future in face of what is happening with the climate."	"-0.66"
"1"	"HOPL7"	"Zmiana klimatu sprawia, że czuję się jakbym żył/a z diagnozą śmiertelnej choroby."	"Climate change makes me feel like I have been diagnosed with a terminal illness."	"-0.74"
"1"	"APP3"	"Obawiam się tego, co nastąpi w wyniku zmiany klimatu."	"I fear what will happen due to climate change."	"-0.65"
"1"	"HOPL3"	"Czuję rozpacz na myśl o skutkach zmiany klimatu."	"I feel despair when I think about the effects of climate change."	"-0.53"
"1"	"APP9"	"Boję się życia w świecie dotkniętym zmianą klimatu."	"I am scared of life in a world affected by climate change."	"-0.84"
"1"	"HOPL1"	"Świadomość zmiany klimatu odbiera mi radość życia."	"Being aware of climate change takes away the joy in my life."	"-0.77"
"1"	"APP2"	"Z niepokojem myślę o skutkach zmiany klimatu."	"I am anxious when I think about the negative effects of climate change."	"-0.52"
"1"	"HOPL12"	"Kiedy myślę o zmianie klimatu, to czuję się jakbym balansował/a na skraju przepaści."	"When I think of climate change, I feel like I’m balancing on the edge of the abyss."	"-0.74"
"1"	"APP7"	"Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci."	"Thinking about climate change makes me fear for the future of our children."	"-0.53"
"1"	"HOPL2"	"Kiedy patrzę w przyszłość, ze względu na zmianę klimatu trudno mi dostrzec tam miejsce na radość."	"It is difficult for me to find joy in the future, as a result of climate change."	"-0.69"
"1"	"HOPL5"	"Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej."	"I am overwhelmed by the awareness of the approaching climate disaster."	"-0.75"
"1"	"HOPL14"	"Boję się, że moja przyszłość w dobie zmiany klimatu wypełniona będzie cierpieniem."	"I am afraid that my future in the face of climate change will be full of suffering."	"-0.84"
"1"	"HOPL11"	"Ze względu na zmianę klimatu wszystko wydaje się niepewne."	"Everything seems uncertain because of climate change."	"-0.74"
"1"	"APP1"	"Wizja przyszłości w dobie zmiany klimatu wywołuje we mnie lęk."	"I am full of fear when I think of the future in times of climate change."	"-0.87"
"1"	"HOPL13"	"Ze względu na zmianę klimatu przyszłość rysuje się w ciemnych barwach."	"The future looks very dim due to climate change"	"-0.73"
"1"	"SOR2"	"Świadomość zmiany klimatu napełnia mnie smutkiem."	"Knowing that the climate is changing fills me with sadness."	"-0.52"
"1"	"APP11"	"Niepokoi mnie, w jaki sposób dotknie mnie zmiana klimatu."	"I am concerned with how climate change will affect me."	"-0.73"
"1"	"HOPL4"	"Przytłacza mnie to, co czuję odnośnie zmiany klimatu."	"I am overwhelmed by my feelings towards climate change."	"-0.58"
"1"	"HOPL9"	"Czuję, że nie ma przyszłości w świecie dotkniętym skutkami zmiany klimatu."	"I feel that I have no future in a world that is facing the effects of climate change."	"-0.7"
"1"	"APP14"	"Boję się, jak zmiana klimatu dotknie mnie i moich bliskich."	"I fear how climate change will affect me and my loved ones."	"-0.73"
