"Bardzo lubię jeździć na wycieczki za miasto, na przykład do lasu."	"I really like going on trips into the countryside, for example to forests or fields."
"Nudzi mnie spędzanie czasu na łonie natury."	"I think spending time in nature is boring."
"Państwo powinno kontrolować tempo eksploatacji surowców naturalnych, tak aby wystarczyły jak najdłużej."	"Governments should control the rate at which raw materials are used to ensure that they last as long as possible."
"Jestem przeciwn[[y//a]] temu, by państwo kontrolowało sposób wykorzystania surowców naturalnych w celu zapewnienia ich dostępności przez dłuższy czas."	"I am opposed to governments controlling and regulating the way raw materials are used in order to try and make them last longer."
"Współczesna nauka rozwiąże nasze problemy ekologiczne."	"Modern science will solve our environmental problems."
"Współczesna nauka NIE będzie w stanie rozwiązać naszych problemów ekologicznych."	"Modern science will NOT be able to solve our environmental problems."
"Ludzie nadmiernie eksploatują środowisko naturalne."	"Humans are severely abusing the environment."
"NIE uważam, że środowisko naturalne jest nadmiernie eksploatowane przez człowieka."	"I do not believe that the environment has been severely abused by humans."
"W miarę możliwości staram się oszczędzać zasoby naturalne."	"Whenever possible, I try to save natural resources."
"NIE należę do osób, które starają się chronić zasoby naturalne."	"I am NOT the kind of person who makes efforts to conserve natural resources."
"Gatunek ludzki został stworzony lub wyewoluował po to, by dominować nad resztą natury."	"Human beings were created or evolved to dominate the rest of nature."
"NIE uważam, żeby gatunek ludzki został stworzony lub wyewoluował po to, by dominować nad resztą natury."	"I DO NOT believe humans were created or evolved to dominate the rest of nature."
"Zapewnienie ludziom miejsc pracy jest ważniejsze niż ochrona środowiska."	"Protecting peoples' jobs is more important than protecting the environment."
"Ochrona środowiska jest ważniejsza niż zapewnienie ludziom miejsc pracy."	"Protecting the environment is more important than protecting peoples' jobs."
"Smuci mnie karczowanie lasów pod uprawy."	"It makes me sad to see forests cleared for agriculture."
"Widok zniszczonego środowiska naturalnego NIE smuci mnie."	"It does NOT make me sad to see natural environments destroyed."
