"Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu."	"I feel angry that the political and economic system that we live in harms the climate."	"Jeg føler sinne over at vårt politisk-økonomiske system er skadelig for klimaet."	"ANG14"
"Jestem wściekł[[y//a]], że politycy pozwolili zmianie klimatu zajść tak daleko."	"I am outraged that politicians allowed climate change to come this far."	"Jeg er rasende over at politikerne har latt klimaendringene gå så langt."	"ANG13"
"Czuję wściekłość na korporacje szkodzące klimatowi."	"I feel outraged at corporations that harm the climate."	"Jeg føler meg rasende på storbedrifter som skader klimaet."	"ANG10"
"Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie."	"I am angry with our leaders for not taking climate change seriously."	"Jeg er sint fordi våre ledere ikke tar klimaendringene på alvor."	"ANG5"
"Jestem zł[[y//a]] na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu."	"I am angry at political leaders who ignore scientific knowledge about climate change."	"Jeg er sint på politiske lederne som ignorerer den vitenskapelige kunnskapen om klimaendringer."	"ANG6"
"Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska."	"It annoys me that, when faced with climate change, people in power place money above the interests of humanity and the environment."	"Jeg er irritert over at de som sitter ved makten, stilt overfor endringene av klimaet, setter penger foran det som er godt for samfunnet og miljøet."	"ANG8"
"Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu."	"I feel anger when I think of politicians who delay efforts to mitigate climate change."	"Jeg føler sinne ved tanken på politikere som utsetter tiltak for å motvirke endringene av klimaet. "	"ANG3"
"Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu."	"I am angry that governments have done so little to deal with climate change."	"Jeg føler sinne over at regjeringene har gjort så lite for å begrense klimaendringene."	"ANG1"
"Jestem znużon[[y//a]] tematem zmiany klimatu."	"I am tired of the topic of climate change."	"Jeg er lei av temaet klimaendringer."	"IND7"
"Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej."	"It annoys me to watch people succumb to climate hysteria."	"Jeg blir irritert når jeg for n’te gang hører mennesker som er offer for klimahysteriet."	"DIS5"
"Złości mnie, że oczekuje się ode mnie wyrzeczeń w związku ze zwalczaniem zmiany klimatu."	"It makes me angry that sacrifices are expected of me to fight climate change."	"Jeg blir sint over at det forventes av meg at jeg skal gi avkall på noe i kampen mot klimaendringene."	"DIS13"
"Czuję oburzenie, że poświęca się mnóstwo czasu i energii na walkę ze zmianą klimatu."	"I feel outraged that so much time and energy is being spent fighting climate change."	"Jeg føler meg rasende over at det ofres massevis av tid og energi på kampen mot klimaendringer."	"DIS10"
"Niespecjalnie porusza mnie temat zmiany klimatu."	"I am not particularly moved by the topic of climate change."	"Jeg er ikke særlig opptatt av temaet klimaendringer."	"IND6"
"Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia."	"I am annoyed by the constant publicity around climate change."	"Jeg irriteres over denne evinnelige masingen om global oppvarming."	"DIS7"
"Nudzi mnie słuchanie o zmianie klimatu."	"I am bored of hearing about climate change."	"Jeg er lei av stadig å høre om klimaendringer."	"IND2"
