"Łatwo mnie uszczęśliwić."	"I tend to get happy very easily."
"Łatwo mnie zdenerwować."	"I tend to get upset very easily."
"Kiedy jestem szczęśliw[[y//a]], to uczucie zostaje ze mną przez dłuższy czas."	"When I’m happy, the feeling stays with me for quite a while."
"Kiedy jestem zdenerwowan[[y//a]], uwolnienie się od tego uczucia zajmuje mi trochę czasu."	"When I’m upset, it takes me quite a while to snap out of it."
"Gdy jestem radosn[[y//a]], to odczuwam to bardzo głęboko."	"When I am joyful, I tend to feel it very deeply."
"Jeśli jestem zdenerwowan[[y//a]], odczuwam to intensywniej niż inni ludzie."	"If I’m upset, I feel it more intensely than everyone else."
"Pozytywne rzeczy sprawiają, że natychmiast czuję się dobrze."	"I feel good about positive things in an instant."
"Bardzo łatwo się rozczarowuję."	"I tend to get disappointed very easily."
"Kiedy czuję się dobrze, to mój nastrój utrzymuje się przez dużą część dnia."	"When I’m feeling positive, I can stay like that for a good part of the day."
"Trudno mi pozbyć się uczucia frustracji."	"It’s hard for me to recover from frustration."
"Bardzo silnie doświadczam pozytywnego nastroju."	"I experience positive mood very strongly."
"Zwykle, gdy jestem nieszczęśliw[[y//a]], odczuwam to bardzo mocno."	"Normally, when I’m unhappy I feel it very strongly."
"Bardzo szybko reaguję na dobre wiadomości."	"I react to good news very quickly."
"Mam skłonność do szybkiego wpadania w pesymizm w negatywnych sytuacjach."	"I tend to get pessimistic about negative things very quickly."
"Mogę pozostać entuzjastyczn[[y//a]] przez dłuższy czas."	"I can remain enthusiastic for quite a while."
"Gdy wpadnę w zły nastrój, to ciężko mi się z tego otrząsnąć."	"Once in a negative mood, it’s hard to snap out of it."
"Gdy jestem entuzjastyczn[[y//a]], to odczuwam to bardzo mocno."	"When I’m enthusiastic about something, I feel it very powerfully."
"Moje negatywne emocje są bardzo intensywne."	"My negative feelings feel very intense."
