code	subquestion	subquestion_ENG
SOR1	Odczuwam smutek w obliczu strat, jakie niesie ze sobą zmiana klimatu.	I feel saddened by the losses that climate change brings.
SOR2	Świadomość zmiany klimatu napełnia mnie smutkiem.	Knowing that the climate is changing fills me with sadness.
SOR3	Wypełnia mnie gorycz na myśl o tym, jak wiele bezpowrotnie tracimy w wyniku zmiany klimatu.	I’m bitter over how much we are irretrievably losing as a result of climate change.
SOR4	Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu.	I feel sorry about the possibilities we are irreversibly losing as a result of climate change.
SOR5	Wypełnia mnie żal, kiedy myślę o świecie, który tracimy na zawsze w wyniku zmiany klimatu.	I’m filled with sorrow for the world that we are losing forever as a result of climate change.
SOR6	Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu.	I feel saddened by the world that is irretrievably vanishing as a result of climate change.
SOR7	Przykro mi, gdy widzę, jak środowisko zmienia się na naszych oczach za sprawą zmiany klimatu.	I am sorry to see the environment changing right before our eyes as a result of climate change.
SOR8	Czuję smutek, kiedy obserwuję postępującą pod wpływem zmiany klimatu degradację przyrody.	I feel saddened by the progressive degradation of nature as a result of climate change.
SOR9	Czuję żal, gdy myślę o miejscach, które znikają przez zmianę klimatu.	I feel sorry for all the places that are disappearing as a result of climate change.
SOR10	Robi mi się smutno, kiedy pomyślę o tym, że przez zmianę klimatu przyszłe pokolenia nie zobaczą już lodowców, ani raf koralowych.	I feel sad when I think about the future generations who, because of climate change, will not have the chance to see glaciers or coral reefs.
SOR11	Odczuwam smutek, że z powodu zmiany klimatu przyszłe pokolenia nie będą miały szansy doświadczyć świata takim, jakim my go znamy.	I feel saddened by the fact that, because of climate change, future generations will not have the chance to experience the world as we know it.
SOR12	Wymieranie gatunków w następstwie zmiany klimatu wywołuje we mnie smutek.	I am saddened by the extinction of species as a result of climate change.
SOR13	Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu.	I’m filled with sorrow for all the disappearing plant and animal species, resulting from climate change.
SOR14	Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń.	I’m sad that so many species are suffering because of climate change.
ANG1	Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu.	I am angry that governments have done so little to deal with climate change.
ANG2	Jestem wzburzony/a opieszałością polityków w kwestii przeciwdziałania zmianie klimatu.	I am outraged by the negligence of politicians towards dealing with climate change.
ANG3	Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu.	I feel anger at the thought of politicians putting off the fight against climate change.
ANG4	Jestem sfrustrowana/y tym, jak powoli podejmowane są działania na rzecz powstrzymania zmiany klimatu.	I’m frustrated by how slowly actions are being taken in fighting climate change.
ANG5	Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie.	I am angry about our leaders not taking climate change seriously.
ANG6	Jestem zły/a na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu.	I am angry at political leaders who ignore scientific knowledge on climate change.
ANG7	Czuję złość na myśl o ludziach u władzy, którzy za mało robią, by przeciwdziałać zmianie klimatu.	I feel anger at the thought of people in power who don’t do enough to resist climate change.
ANG8	Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska.	It bothers me how, in the face of climate change, people in power place money over the benefit of society and the environment.
ANG9	Czuję złość na firmy, które celowo ukrywały prawdę o postępującej zmianie klimatu.	I feel anger towards companies that deliberately hide the truth about the climate changing.
ANG10	Czuję wściekłość na korporacje szkodzące klimatowi.	I am outraged by corporations that harm the climate.
ANG11	Czuję wściekłość na zarządy korporacji, których chciwość doprowadziła do zmiany klimatu.	I am outraged by corporate managements whose greed led to climate change.
